-37,82 
-36,82
-35,82
-34,82
-33,82
-32,82
-31,82
-30,82
-29,77
-28,77
-27,77
-26,77
-25,77
-24,77
-23,77
-22,77
-21,77
-20,77
-19,72
-18,72
-17,77
-16,77
-15,77
-14,77
-13,77
-12,77
-11,77
-10,77
-9,77
-8,77
-7,77
-6,82
-5,82
-4,82
-3,82
-2,82
-1,82
0,87
1,87
2,783
3,783
4,341
5,341
6,783
7,783
8,316
9,316
10,783
11,783
12,778
13,778
14,473
15,839
16,839
17,600
18,600
19,615
20,615
21,87
22,87
23,87
24,87
25,82
26,82
27,82
28,82
29,82
30,82
31,92
32,92
33,956
34,956
35,138
36,138
37,819
38,819
39,966
38,966
37,493
36,961
35,961
34,956
33,956
32,951
31,951
30,341
29,341
28,951
27,951
26,951
25,951
24,737
23,737
22,951
21,951
20,407
19,407
18,92
17,92
16,87
15,87
14,87
13,87
12,92
11,92
10,87
9,82
8,82
7,102
6,102
5,834
4,834
3,448
2,448
1,783
0,783
-1,199
-2,199
-3,692
-4,692
-5,788
-6,788
-7,610
-8,610
-9,793
-10,793
-11,87
-12,87
-13,82
-14,82
-15,72
-16,72
-17,77
-18,77
-19,77
-20,72
-21,72
-22,77
-23,77
-24,77
-25,77
-26,77
-27,77
-28,77
-29,77
-30,77
-31,77
-32,72
-33,72
-34,72
-35,72
-36,77
-37,77
-38,77
-39,77
-40,82
-41,82
-42,77
-43,77
-44,82
-45,82
-46,82
-47,82
-48,82
-49,82
-50,82
-51,87
-52,87
-53,87
-54,87
-55,97
-56,97
-55,102
-54,102
-53,97
-52,97
-51,97
-50,97
-49,92
-48,92
-47,92
-46,92
-45,87
-44,87
-43,87
-42,87
-41,87
-40,87
-39,87
-38,82
-37,82
-36,82
-35,82
-34,77
-33,77
-32,77
-31,77
-30,82
-29,82
-28,77
-27,77
-26,77
-25,77
-24,77
-23,77
-22,77
-21,77
-20,77
-19,77
-18,77
-17,77
-16,77
-15,77
-14,77
-13,77
-12,72
-11,72
-10,77
-9,72
-8,72
-7,77
-6,77
-5,87
-4,87
-3,82
-2,82
-1,87
0,87
1,183
2,183
3,783
4,783
5,778
6,778
7,615
8,615
9,768
10,768
11,326
12,326
13,788
14,788
15,97
16,97
17,605
18,605
19,87
20,87
21,87
22,82
23,82
24,87
25,87
